date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:50	168241/168241	---M-Z	200	added ('OK')	text/html	etag:%221920553-28f6a-627639217d575-gzip%22	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html	(from )
18:49:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2011:49:51%20GMT	http://antstudents.com/robots.txt		(from )
18:49:52	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%221923c13-38d63-622376fcafc58-gzip%22	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/bootstrap/bootstrap.min.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:52	187647/187647	---M-Z	200	added ('OK')	text/css	etag:%221920552-2dcff-627639077af9e-gzip%22	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/css/style.css	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/css/style.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:52	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%22669c1f0c-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	C:/My%20Web%20Sites/SKI_Center/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:52	18457/18457	---MCZ	200	added ('OK')	text/css	etag:W/%224819-wiCvDEdcyrxF06TMHXvGYWAx+Y0%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My%20Web%20Sites/SKI_Center/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2011:49:53%20GMT	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/fontawesome/css/all.min.css	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/fontawesome/css/all.min.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:53	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%221923c10-11846-622376fb9c215-gzip%22	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/animation/animate.min.css	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/animation/animate.min.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:53	912/912	---M--	200	added ('OK')	image/png	etag:%221923c54-390-6223771b07c85%22	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/image/logo/logo-favicon-color.png	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/image/logo/logo-favicon-color.png	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
18:49:54	32499/32499	---M-Z	200	added ('OK')	text/css	etag:%221923c1a-7ef3-622376fe2168d-gzip%22	http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/plyr/plyr.css	C:/My%20Web%20Sites/SKI_Center/antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/assets/plugin/plyr/plyr.css	(from http://antstudents.com/WebScholarshipS2/Group-1/ProjectCSS_SKI_Center/index.html)
